dataset,RecurrentGCN,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
fivenodes,DCRNN,STGCN,0.3,rand,2,16,linear,150,1.246925711631775,69.25739741325378
fivenodes,DCRNN,STGCN,0.3,rand,2,16,cubic,150,1.253901720046997,69.39374661445618
fivenodes,DCRNN,STGCN,0.8,rand,2,16,linear,150,1.2720649242401123,69.11944031715393
fivenodes,DCRNN,STGCN,0.8,rand,2,16,cubic,150,1.8174633979797363,69.69836664199829
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.250473141670227,75.20789241790771
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.2469499111175537,75.35833406448364
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,linear,150,1.2381510734558103,94.45761060714722
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,cubic,150,1.2620325088500977,82.76079249382019
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,linear,150,1.2856686115264893,75.7727279663086
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,cubic,150,1.276687502861023,75.58950018882751
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.2418328523635864,69.54220819473267
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.2431116104125977,69.22874999046326
fivenodes,DCRNN,STGCN,0.3,rand,2,16,linear,150,1.2534252405166626,69.30521416664124
fivenodes,DCRNN,STGCN,0.3,rand,2,16,cubic,150,1.257591724395752,69.3321430683136
fivenodes,DCRNN,STGCN,0.8,rand,2,16,linear,150,1.2271430492401123,69.37392067909241
fivenodes,DCRNN,STGCN,0.8,rand,2,16,cubic,150,1.574998140335083,69.64532375335693
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.2478222846984863,76.12003493309021
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.2405543327331543,75.40529870986938
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,linear,150,1.2478461265563965,75.7297797203064
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,cubic,150,1.271600365638733,75.51436519622803
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,linear,150,1.323767900466919,75.68024682998657
